Tidsstempel,What alliance do you belong to? ,"If chosen ""Non of the above"" please type it here",What is your character name?   (Pro Tip: Please do not change your character name after filling this form and before Friday of SvS preparation week.) ,"What is your player ID?
(Note: Your ID must be a 8-9 digit number)
",Is this form a...,Do you want a Construction day appointment?,"How many hours of speedups do you plan to use on Construction day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and construction speedup hours you are planning to use on this day.)
",How much truegold do you plan too spend?,"What times are you available for your Construction day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
",Do you want a Research day appointment?,"How many hours of speedups do you plan to use on Research day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and research speedup hours you are planning to use during this day.)
","What times are you available for your Research day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
",Do you want a Troops Training day appointment?,"How many hours of speedups do you plan to use on Troops Training day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and troops training speedup hours you are planning to use during this day.)
","What times are you available for your Troops Training day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
","Please share any additional notes, clarifications, or comments about your responses on this form.",What suggestions do you have for improving our state? We value your feedback!
27/11/2025 03.13.42,KAT,,MeowMeow,39956805,New submission,Yes,500,1500,"00:15, 00:45, 01:15, 01:45, 02:15, 10:45, 11:15",Yes,100,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 10:45, 11:15",Yes,550,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 10:45, 11:15",Hours likely to increase- spending a lot on this turkey event,"More visiting between alliances, bring back envoys but make it light and fun"
27/11/2025 03.30.03,APX,,Mili,39334123,New submission,Yes,2000,3700,"02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 06:15, 08:45, 09:15, 09:45",Yes,800,"02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 06:15, 08:45, 09:15, 09:45",Yes,1200,"02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 06:15, 08:45, 09:15, 09:45",I mostly prefer 8:45 and 9:15 time slots,
27/11/2025 03.41.16,TCM,,Tydimus,38777107,New submission,No,,,,Yes,480,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,1140,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",,
27/11/2025 04.06.36,TCM,,LadyCarelessKat ,41906431,New submission,Yes,900,1000,"01:15, 01:45, 02:15, 02:45, 03:15",Yes,370,"01:15, 01:45, 02:15, 02:45, 03:15",Yes,565,"01:45, 02:15, 02:45, 03:15, 03:45",,Keep up the good work
27/11/2025 04.20.24,Non of the above,tcm,Tydimus II,50727003,New submission,No,,,,No,,,Yes,706,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",,
27/11/2025 06.03.52,GUN,,Lady Laverne,39694594,New submission,Yes,300,500,"00:15, 02:15, 04:15, 20:15, 22:15",No,,,Yes,250,"00:15, 02:15, 04:15, 22:15, 23:15",,
27/11/2025 06.28.36,GUN,,RamsesCurse,39514344,New submission,Yes,257,600,"20:15, 20:45, 21:15, 21:45, 22:15",Yes,109,"19:15, 19:45, 20:15, 20:45, 21:15",Yes,352,"19:15, 19:45, 20:15, 20:45, 21:15",,
27/11/2025 07.06.26,KAT,,Turboquinn55,39039265,Re-Submission,Yes,422,1912,"17:15, 17:45, 18:45, 20:15, 21:45",Yes,113,"20:15, 21:15, 21:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,556,"21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",,
27/11/2025 07.50.34,GUN,,Amyrlin V,38530988,New submission,Yes,429,410,"06:45, 07:15, 07:45, 08:15, 08:45",Yes,389,"07:15, 07:45, 08:15, 08:45, 09:15",Yes,600,"20:45, 21:15, 21:45, 22:15, 22:45",,
27/11/2025 08.45.03,TCM,,Moes,38874813,New submission,Yes,650,1200,"17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15",Yes,650,"17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15",Yes,1100,"17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15",,
27/11/2025 08.55.33,APX,,Nomad,31521295,New submission,Yes,600,560,"14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45",Yes,24,"14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45",No,,,"I don’t think that you can copy your name, only your id.",More R4s who actually know the game mechanics and also “teach” them to others instead of gatekeeping them. Kicking players from rallies or cancelling their rallies if wrong heroes are sent. I have observed that this is currently not being done at all.
27/11/2025 10.41.01,GUN,,Unicorse,39547067,New submission,Yes,1529,500,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: Choose if you can do 15 minutes construction and 15 minutes research.)",Yes,1400,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,3700,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Pretty flexible with times ,Thanks your doing a great job 
27/11/2025 12.13.18,APX,,Fuel,30429977,New submission,Yes,543,600,"00:15, 00:45, 13:45, 14:15, 14:45",Yes,560,"00:15, 00:45, 13:15, 13:45, 14:15",Yes,519,"00:15, 00:45, 13:45, 14:15, 14:45",,
27/11/2025 12.44.23,TCM,,Thaloryn,41742675,New submission,Yes,850,1170,"01:15, 01:45, 02:15, 04:15, 08:15, 08:45, 09:15, 09:45, 10:15, 12:15, 12:45, 13:15, 13:45",Yes,750,"01:15, 01:45, 02:15, 04:15, 08:15, 08:45, 09:15, 09:45, 12:15, 12:45, 13:15, 13:45",Yes,900,"01:15, 01:45, 02:15, 04:15, 08:15, 08:45, 09:15, 09:45, 10:15, 12:15, 12:45, 13:15, 13:45",,
27/11/2025 12.47.05,GUN,,Kaevor,62816151,New submission,Yes,430,750,"01:15, 01:45, 02:15, 04:15, 08:15, 08:45, 09:15, 09:45, 10:15, 12:15, 12:45, 13:15, 13:45",Yes,430,"01:15, 01:45, 02:15, 04:15, 08:15, 08:45, 09:15, 09:45, 12:15, 12:45, 13:15, 13:45",Yes,550,"01:15, 01:45, 02:15, 04:15, 08:15, 08:45, 09:15, 09:45, 10:15, 12:15, 12:45, 13:15, 13:45",,
27/11/2025 13.19.12,TCM,,Wiglag,38613280,New submission,Yes,500,1050,"00:15, 00:45, 12:15, 12:45, 13:15, 13:45",Yes,1250,"00:15, 00:45, 12:15, 12:45, 13:15",Yes,1250,"00:15, 00:45, 12:15, 12:45, 13:15",,
27/11/2025 14.36.01,TCM,,KlausThaler,39284730,New submission,Yes,600,1500,"20:45, 21:15, 21:45, 22:15, 22:45",Yes,550,"20:45, 21:15, 21:45, 22:15, 22:45",Yes,700,"20:45, 21:15, 21:45, 22:15, 22:45",None,You Are still doing a Great Job! Thank you all!
27/11/2025 14.49.57,DFM,,OkernRules,39940024,New submission,No,,,,Yes,1000,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,500,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)","If war academy opens, I can do construction as well. Have enough to get to TG5 but only will if we need it to win prep",
27/11/2025 17.12.58,TCM,,Rotad,41447616,New submission,Yes,400,2000,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 09:45, 10:15, 17:15, 17:45, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: Choose if you can do 15 minutes construction and 15 minutes research.)",No,,,Yes,1400,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 10:15, 10:45, 17:15, 17:45, 21:45, 22:15, 22:45, 23:15","Construction to enable tg4 troops. If desperate, let me know other times open, and i will see if i can make it work. ",
27/11/2025 17.24.40,ASC,,Tilly,72079542,New submission,Yes,400,1000,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 11:45, 17:15, 17:45, 21:45, 22:15, 22:45, 23:15",No,,,Yes,1200,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 10:45, 17:15, 17:45, 21:45, 22:15, 22:45, 23:15",,
27/11/2025 18.42.18,TCM,,Poora1m,39317456,New submission,Yes,360,766,"16:15, 16:45, 17:15, 17:45, 18:15",Yes,649,"16:15, 16:45, 17:15, 17:45, 18:15",Yes,574,"16:15, 16:45, 17:15, 17:45, 18:15",,
27/11/2025 19.52.44,KAT,,Vagabond,40972352,New submission,Yes,250,500,"02:15, 03:15, 20:15, 21:15, 22:15",Yes,250,"02:15, 03:15, 19:15, 20:15, 21:15",Yes,400,"02:15, 02:45, 16:15, 18:15, 20:15",,
27/11/2025 20.41.06,ASC,,Royal King,38088445,New submission,No,,,,Yes,1300,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15",Yes,1500,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15",Thank you!,
28/11/2025 03.03.57,TCM,,Jobie,37924862,New submission,Yes,1200,1600,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: Choose if you can do 15 minutes construction and 15 minutes research.)",Yes,306,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,830,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",I have 3-400 of each speed up and 1500 general what I don’t use for construction I will divide up for research and troops. If I can’t get all three days I will settle for two,
28/11/2025 14.36.18,TCM,,Rhasky,38334351,New submission,Yes,24,1400,"00:15, 00:45, 01:15, 01:45, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,30,"00:15, 00:45, 01:15, 01:45, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,36,"00:15, 00:45, 01:15, 01:45, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",,
28/11/2025 16.04.36,APX,,Miss Morzilla,38449080,New submission,Yes,445,3000,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 19:15, 20:45, 21:15, 23:45 (Note: Choose if you can do 15 minutes construction and 15 minutes research.)",Yes,2000,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 19:15, 19:45, 20:15, 20:45",No,,,Vor hits babies in the face,Make 235 great again 
28/11/2025 16.07.21,APX,,Seer,40825161,New submission,Yes,500,1000,"01:45, 02:15, 02:45, 03:15, 03:45",Yes,400,"01:45, 02:15, 02:45, 03:15, 03:45",Yes,500,"01:45, 02:15, 02:45, 03:15, 03:45",,
28/11/2025 16.19.50,TCM,,Fat Koner,19101179,New submission,Yes,700,1900,"15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15",No,,,Yes,1200,"14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45",Thank you for taking time to organize everythng,
28/11/2025 23.59.29,DFM,,ᏚᎮᏋᏃᎥ,40513137,New submission,Yes,830,350,"11:15, 11:45, 12:15, 12:45, 13:15, 13:45, 14:45, 15:45, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45",Yes,220,"10:45, 11:45, 12:15, 13:45, 14:45, 16:15, 17:15, 18:15, 18:45, 20:45, 21:15",Yes,285,"10:15, 11:45, 12:45, 13:15, 14:15, 15:15, 15:45, 16:45, 17:45, 18:15, 19:45, 20:45, 21:15",,
29/11/2025 05.13.37,ASC,,Royal Alien,96279696,New submission,Yes,500,0,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45",Yes,600,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45",Yes,500,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45",Thank you very much!,
